design_id,gd_safety_factor,gd_min_thickness_mm,max_overhang_angle,gd_unrestricted_flag,max_von_mises_mpa,mass_kg,volume_mm3,support_mass_g,support_volume_ml,estimated_print_time_min,material_used_g,slenderness_ratio,small_base_flag,thin_neck_flag,complexity_flag,print_success
Baseline_1,1.5,3,45,0,15,0.065,61680,0.88,0.29,60,28.1,2.4975,0,0.5,0.5,1
GD_Realistic_1,1.5,3,45,0,13.3,0.038,36157,2.89,0.95,69,21.21,2.628947368,0.2,1,0.5,0.9
GD_Realistic_2,1.5,3,45,0,13.3,0.035,32984,1.69,0.56,56,18.76,2.7,0.2,0.8,0.6,0.9
GD_Unrestricted_1_1,1.5,3,45,1,13.3,0.036,33593,3.07,1.01,63,20.35,2.912055911,0.2,0.9,0.6,0.85
GD_Unrestricted_1_2,1.5,3,45,1,13.3,0.038,36157,2.89,0.95,69,21.21,2.856857143,0.2,0.8,0.7,0.85
GD_Unrestricted_ Only_6_2,1,1,90,1,13.197,0.052,49305,5.13,1.69,95,28.92,2.777777778,0.1,0.9,1,0.8
GD_Unrestricted_ Only_6_3,1,1,90,1,19.3,0.024,22176,1.35,0.44,47,13.52,2.911764706,0.2,0.8,0.8,0.8
GD_SF1_1,1,3,45,0,20,0.022,20414,1.67,0.55,49,13.56,3.203883495,0.5,0.4,0.6,0.75
GD_Unrestricted_2_1,1,3,45,1,20,0.019,18199,2.08,0.69,51,13.23,3.2247557,0.5,0.4,0.5,0.75
GD_Unrestricted_2_2,1,3,45,1,20,0.022,20414,1.74,0.58,48,13.65,3.194578896,0.5,0.4,0.5,0.75
GD_thickness_2.5_1,1,2.5,45,0,20,0.022,20503,1.78,0.59,49,13.62,3.193548387,0.5,0.4,0.6,0.7
GD_Unrestricted_1_3,1.5,3,45,1,13.3,0.035,32984,1.7,0.56,56,18.77,3.121875,0.2,0.9,0.6,0.7
GD_SF1_2,1,3,45,0,19.587,0.021,19688,1.69,0.56,56,18.76,3.100465116,0.5,0.3,0.8,0.65
GD_thickness_2.5_2,1,2.5,45,0,19.7,0.021,19469,1.54,0.51,50,13.79,3.09375,0.5,0.3,0.8,0.65
GD_Unrestricted_2_3,1,3,45,1,20,0.021,19688,1.41,0.46,49,13.99,3.125,0.5,0.3,0.7,0.5
GD_Unrestricted_4_1,1,2.5,70,1,20,0.022,20757,2.43,0.8,51,14.41,3.2,0.7,0.5,0.6,0.5
GD_Unrestricted_4_2,1,2.5,70,1,80,0.009,8715,2.32,0.77,46,8.89,3.76,1,0,0,0.1
GD_Unrestricted_5_1,1,1.5,70,1,95.9,0.012,11601,2.88,0.95,53,11.43,3.8,0.9,0.1,0.1,0.1
GD_Unrestricted_5_2,1,1.5,70,1,92.6,0.013,12075,2.98,0.98,54,11.76,3.8,0.9,0.1,0.1,0.1
GD_Unrestricted_5_3,1,1.5,70,1,89.4,0.013,12062,2.67,0.88,51,11.38,3.8,0.9,0.1,0.1,0.1
